1,12,7
1,19,7
1,31,8
1,35,1
1,37,4
1,41,9
1,53,8
1,53,9
1,56,4
1,60,3
1,6,6
2,40,7
2,45,6
2,5,1
2,56,2
2,59,8
2,60,1
2,63,4
3,10,5
3,14,2
3,17,7
3,34,3
3,41,7
3,54,7
3,55,9
3,5,7
4,22,2
4,29,8
4,38,8
4,58,8
4,59,1
4,59,9
5,11,1
5,12,6
5,21,1
5,31,6
5,37,5
5,43,8
5,51,1
5,5,3
5,55,6
5,55,7
5,57,8
5,5,8
5,7,3
5,9,8
6,15,2
6,23,1
6,26,1
6,34,7
6,37,2
6,4,3
6,44,6
6,44,8
6,46,7
6,52,5
6,57,5
6,6,6
7,25,2
7,2,8
7,30,2
7,31,3
7,41,4
7,41,6
7,41,7
7,55,5
7,59,4
7,59,9
7,7,1
8,19,9
8,23,8
8,24,4
8,25,4
8,3,2
8,3,9
8,43,5
8,61,5
9,12,2
9,14,5
9,17,4
9,30,2
9,33,5
9,33,8
9,36,4
9,36,4
9,37,8
9,48,3
9,5,8
9,7,5
9,9,6
10,35,6
10,37,9
10,47,2
10,48,2
10,53,5
10,55,7
10,59,8
10,60,2
10,60,4
10,62,6
11,1,9
11,20,3
11,27,2
11,29,3
11,33,2
11,3,4
11,44,2
11,45,1
11,47,9
11,58,3
11,58,9
12,18,5
12,25,1
12,29,2
12,29,8
12,40,7
12,7,1
13,10,2
13,10,3
13,15,6
13,24,6
13,2,6
13,28,7
13,40,3
13,4,6
13,47,3
13,48,9
13,54,6
13,61,8
14,11,1
14,18,3
14,19,2
14,26,7
14,35,9
14,36,3
14,41,3
14,50,9
14,51,2
15,18,9
15,19,6
15,22,4
15,30,1
15,42,3
15,44,8
15,4,5
15,48,7
15,5,4
15,62,1
16,10,3
16,15,2
16,16,2
16,18,5
16,1,9
16,19,5
16,26,9
16,30,3
16,41,8
16,49,7
16,59,4
16,59,5
17,13,6
17,25,2
17,37,2
17,58,2
18,20,1
18,2,1
18,2,2
18,54,4
18,56,4
19,11,2
19,16,9
19,17,2
19,18,7
19,18,7
19,2,2
19,23,9
19,25,8
19,34,6
19,47,8
19,54,6
19,57,2
19,61,2
19,7,6
19,9,3
20,11,1
20,26,6
20,31,6
20,35,8
20,37,4
20,43,5
20,53,4
20,55,6
20,58,4
20,59,1
20,9,7
21,23,5
21,28,6
21,31,1
21,40,4
21,40,8
21,45,7
21,55,3
21,58,9
21,62,9
22,13,5
22,2,1
22,2,2
22,23,8
22,23,9
22,33,3
22,3,9
22,43,2
22,47,4
22,56,5
22,61,8
23,14,3
23,30,1
23,43,2
23,48,5
23,50,4
23,55,1
23,63,1
24,2,8
24,4,5
24,4,5
24,57,2
24,6,9
25,1,1
25,14,9
25,31,3
25,3,2
25,32,6
25,34,6
25,34,7
25,36,2
25,39,1
25,44,4
25,52,8
25,63,2
26,10,9
26,15,7
26,16,9
26,23,2
26,24,5
26,27,9
26,44,5
26,52,5
27,14,5
27,15,2
27,18,7
27,19,4
27,19,5
27,21,6
27,23,5
27,24,6
27,30,7
27,32,3
27,34,1
27,40,4
27,41,6
27,43,8
27,44,4
27,50,2
27,5,6
27,7,1
28,15,5
28,30,2
28,3,1
28,48,2
28,55,8
28,59,7
28,60,1
28,7,9
28,8,7
28,8,9
29,15,9
29,24,2
29,26,6
29,28,2
29,33,1
29,35,4
29,38,2
29,45,9
29,48,3
29,5,7
29,58,9
29,59,6
30,19,7
30,2,6
30,39,9
30,42,3
30,45,5
30,4,6
30,47,3
30,56,4
30,60,7
30,61,4
30,9,7
31,13,6
31,14,5
31,24,3
31,24,9
31,26,1
31,31,4
31,32,5
31,3,7
31,38,3
31,45,9
31,54,1
31,7,5
32,16,7
32,27,8
32,28,6
32,30,5
32,3,7
32,37,3
32,38,4
32,47,3
32,57,8
32,63,8
32,7,2
32,8,1
33,12,6
33,1,5
33,20,6
33,20,9
33,21,6
33,27,7
33,30,6
33,32,5
33,3,3
33,40,3
33,4,1
33,53,3
33,53,4
33,6,1
34,16,5
34,26,5
34,33,4
34,34,8
34,47,8
34,57,1
34,6,6
34,8,6
35,12,2
35,17,8
35,1,8
35,20,5
35,26,8
35,35,9
35,3,7
35,41,1
35,52,9
35,60,7
35,61,7
35,61,9
35,62,9
36,11,4
36,16,4
36,21,3
36,30,1
36,30,5
36,38,4
36,41,7
36,57,9
36,59,3
36,6,3
37,24,1
37,3,2
37,51,1
37,53,9
37,62,6
37,8,5
38,13,3
38,14,2
38,17,3
38,2,4
38,35,8
38,47,2
38,49,1
38,5,9
39,12,5
39,34,2
39,4,1
39,5,3
40,10,8
40,1,1
40,13,2
40,1,4
40,21,1
40,22,3
40,38,4
40,45,4
40,48,5
40,52,6
40,52,7
40,5,4
